SKU,Handle,Collection,Category,Name,Variant Name,Price,In Stock,URL,Image URL,Body
,all,All,,"""Magic Lantern Alice"" Night Lamp",Default Title,50.00,Yes,https://janecarrolldesign.com/products/magic-lantern-alice-night-lamp,https://cdn.shopify.com/s/files/1/1302/3613/products/Trousselier_4315CGB_12V.jpg?v=1496237545,"<ul class=""a-unordered-list a-vertical a-spacing-none"" style=""box-sizing: border-box; margin: 0px 0px 18px 18px; color: #949494; padding: 0px; font-family: 'Amazon Ember',Arial,sans-serif; font-size: 13px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: normal; letter-spacing: normal; text-align: start; text-indent: 0px; text-transform: none; white-space: normal; word-spacing: 0px; -webkit-text-stroke-width: 0px; background-color: #ffffff;"">
<li style=""box-sizing: border-box; list-style: outside none disc; overflow-wrap: break-word; margin: 0px;""><span style=""color: #0b5394;""><strong><span class=""a-list-item"" style=""box-sizing: border-box;"">Light up your nursery with this beautiful magic lantern</span></strong></span></li>
<li style=""box-sizing: border-box; list-style: outside none disc; overflow-wrap: break-word; margin: 0px;""><span style=""color: #0b5394;""><strong><span class=""a-list-item"" style=""box-sizing: border-box;"">The eye catching design encourages calm and relaxation before bedtime</span></strong></span></li>
<li style=""box-sizing: border-box; list-style: outside none disc; overflow-wrap: break-word; margin: 0px;""><span style=""color: #0b5394;""><strong><span class=""a-list-item"" style=""box-sizing: border-box;"">Remove the external plastic part and pictures will spread across the wall</span></strong></span></li>
<li style=""box-sizing: border-box; list-style: outside none disc; overflow-wrap: break-word; margin: 0px;""><span style=""color: #0b5394;""><strong><span class=""a-list-item"" style=""box-sizing: border-box;"">Follow the detailed design as it rotates using the heat taken from the bulb</span></strong></span></li>
<li style=""box-sizing: border-box; list-style: outside none disc; overflow-wrap: break-word; margin: 0px;""><span style=""color: #0b5394;""><strong><span class=""a-list-item"" style=""box-sizing: border-box;"">Inspired from an old Japanese tradition.</span></strong></span></li>
</ul>"
,all,All,,10 PENGUINS PUZZLE,Default Title,28.00,Yes,https://janecarrolldesign.com/products/10-penguins-puzzle,https://cdn.shopify.com/s/files/1/1302/3613/products/10.jpg?v=1496932039,"<li><span style=""color: #0b5394;""><strong>Material <span id=""f8"" class=""normal"">Recycled cardboard and paper</span></strong></span></li>
<li><span style=""color: #0b5394;""><strong>Packaging <span id=""f10"" class=""normal"">Sturdy cardboard box</span></strong></span></li>
<li><span style=""color: #0b5394;""><strong>Size <span id=""f6"" class=""normal"">59 x 7,5 cm. (longest) / 12 x 7,5 cm (shortest)</span></strong></span></li>
<li><span style=""color: #0b5394;""><strong>Box Size <span id=""f7"" class=""normal"">45 x 15 x 7 cm.</span></strong></span></li>"
,all,All,Wall Art,3 Bunniers and Pink Bubbles - Framed,Default Title,40.00,Yes,https://janecarrolldesign.com/products/framed-3-bunnies-pink-bubbles,https://cdn.shopify.com/s/files/1/1302/3613/products/Framed-3-bunnies-pink-bubbles.jpg?v=1464647764,
,all,All,Wall Art,3 Bunnies and Birds - Framed,Default Title,40.00,Yes,https://janecarrolldesign.com/products/framed-3-bunnies-banner-birds,https://cdn.shopify.com/s/files/1/1302/3613/products/Capture_d_ecran_2016-06-29_a_21.30.25.png?v=1467232249,
,all,All,Wall Art,3 Bunnies and Green Bubbles - Framed,Default Title,40.00,Yes,https://janecarrolldesign.com/products/framed-3-bunnies-green-bubbles,https://cdn.shopify.com/s/files/1/1302/3613/products/Framed-3-bunnies-green-bubbles.png?v=1464647922,
,all,All,Wall Art,3 Bunnies and Purple Bubbles - Framed,Default Title,40.00,Yes,https://janecarrolldesign.com/products/framed-3-bunnies-purple-bubbles,https://cdn.shopify.com/s/files/1/1302/3613/products/Framed-3-bunnies-purple-bubbles.png?v=1464648129,
,all,All,Wall Art,A Bunny in the Rain - Framed,Default Title,40.00,Yes,https://janecarrolldesign.com/products/framed-bunny-in-rain,https://cdn.shopify.com/s/files/1/1302/3613/products/Framed-Bunny-In-Rain.jpg?v=1464648213,
,all,All,,A Christening,Default Title,2.50,Yes,https://janecarrolldesign.com/products/a-christening,https://cdn.shopify.com/s/files/1/1302/3613/products/JC-09.jpg?v=1493804902,"<p><span style=""color: #bf9000;""><strong>Irish made printed greeting card.</strong></span></p>
<p><span style=""color: #bf9000;""><strong>Dimension - 130mm x 130mm</strong></span></p>"
,all,All,,A Sample of Headbangers,Default Title,0.00,Yes,https://janecarrolldesign.com/products/a-sample-of-headbangers,https://cdn.shopify.com/s/files/1/1302/3613/products/sample.jpg?v=1496934991,Few samples of Headbangers
,all,All,,Acrobat Fire Truck,Default Title,22.00,Yes,https://janecarrolldesign.com/products/acrobat-fire-truck,https://cdn.shopify.com/s/files/1/1302/3613/products/CamiondePompiersAcrobates.jpg?v=1496850672,"<h4 class=""tw-data-text tw-ta tw-text-small"" data-placeholder=""Translation"" id=""tw-target-text"" style=""text-align: left; height: 120px;"" dir=""ltr""><span style=""color: #0b5394;""><strong><span lang=""en""> The scale is magnetic. Firefighters are real acrobats and when the exercise is over, the ladders are stowed on the sides of the truck.<br></span></strong></span></h4>
<h4 class=""tw-data-text tw-ta tw-text-small"" data-placeholder=""Translation"" style=""text-align: left; height: 120px;"" dir=""ltr""><span style=""color: #0b5394;""><strong><span lang=""en"">Dimension: 20 x 12.5 cm</span></strong></span></h4>
<pre class=""tw-data-text tw-ta tw-text-small"" data-placeholder=""Translation"" id=""tw-target-text"" style=""text-align: left; height: 120px;"" data-fulltext="""" dir=""ltr""><strong><span lang=""en""> </span></strong></pre>"
